Pin Number,Pin ID,Custom Name,Function,Direction,Latch,Open Drain,PIO Interrupt,Pull Up,Pull Down,Glitch/Debounce Filter,Drive Strength
3,PA20,,Available,In,,,,,,,
4,PA21,,Available,In,,,,,,,
5,PA22,,Available,In,,,,,,,
6,PA23,,Available,In,,,,,,,
7,PA24,,Available,In,,,,,,,
8,PA25,,Available,In,,,,,,,
9,PA26,,Available,In,,,,,,,
10,PA27,,Available,In,,,,,,,
11,PA28,,Available,In,,,,,,,
12,PA29,,Available,In,,,,,,,
13,PA30,,Available,In,,,,,,,
14,PA31,SWITCH0,GPIO,In,n/a,No,Low Level,Yes,No,Disabled,0x0
15,PB0,SWITCH1,GPIO,In,n/a,No,Low Level,Yes,No,Disabled,0x0
16,PB1,SWITCH2,GPIO,In,n/a,No,Low Level,Yes,No,Disabled,0x0
17,PB2,,Available,In,,,,,,,
21,PB3,,Available,In,,,,,,,
22,PB4,,FLEXCOM1_IO0,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
23,PB5,,FLEXCOM1_IO1,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
24,PB6,,Available,In,,,,,,,
27,PB7,,Available,In,,,,,,,
28,PB8,,Available,In,,,,,,,
29,PB9,,Available,In,,,,,,,
30,PB10,,Available,In,,,,,,,
31,PB11,,Available,In,,,,,,,
32,PB12,,Available,In,,,,,,,
33,PB13,,Available,In,,,,,,,
34,PB14,,Available,In,,,,,,,
35,PB15,,Available,In,,,,,,,
36,PB16,,Available,In,,,,,,,
37,PB17,,Available,In,,,,,,,
38,PB18,,Available,In,,,,,,,
39,PB19,,Available,In,,,,,,,
44,PB20,,Available,In,,,,,,,
45,PB21,,Available,In,,,,,,,
46,PB22,,Available,In,,,,,,,
47,PB23,,Available,In,,,,,,,
48,PB24,,Available,In,,,,,,,
49,PB25,,Available,In,,,,,,,
50,PB26,,Available,In,,,,,,,
51,PB27,,Available,In,,,,,,,
52,PB28,,Available,In,,,,,,,
53,PD0,,Available,In,,,,,,,
54,PD1,,Available,In,,,,,,,
55,PD2,,Available,In,,,,,,,
56,PD3,,Available,In,,,,,,,
63,PD4,,HEMC_NCS1,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
64,PD5,,HEMC_NCS0,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
65,PD6,,HEMC_NRD,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
66,PD7,,HEMC_NWE,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
67,PC0,,HEMC_D0,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
68,PC1,,HEMC_D1,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
69,PC2,,HEMC_D2,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
70,PC3,,HEMC_D3,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
